Name,10/27/21,10/28/21,10/31/21,11/04/21,11/05/21,11/06/21,11/08/21,11/11/21,11/21/21,11/22/21,11/24/21,11/26/21,11/30/21,12/02/21,12/05/21,12/11/21,12/12/21,12/15/21,12/17/21,12/26/21,12/30/21,12/31/21,01/06/22,01/09/22,01/18/22,01/19/22,01/20/22,01/24/22,01/25/22,01/26/22,02/02/22,02/05/22,02/07/22,02/27/22
ASUS NVIDIA GeForce GTX 1650 TUF Gaming Overclocked Dual-Fan 4GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99
ASUS NVIDIA GeForce GTX 1660 Phoenix Overclocked Single-Fan 6GB GDDR5,,299.99,,,,299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS NVIDIA GeForce GTX 1660 Super TUF Overclocked Dual-Fan 6GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,329.99,329.99,329.99,,,329.99,329.99,329.99,329.99,329.99
ASUS NVIDIA GeForce GTX 1660 Ti TUF EVO Overclocked Dual-Fan 6GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,364.99,,,,364.99,,364.99,409.99,409.99,409.99,409.99
ASUS NVIDIA GeForce RTX 2060 Dual Evo Overclocked Dual-Fan 12GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,479.99,479.99,479.99,479.99,479.99,479.99,479.99,479.99,479.99,479.99,479.99,479.99
ASUS NVIDIA GeForce RTX 2060 Dual Overclocked Dual-Fan 6GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99,439.99
ASUS NVIDIA GeForce RTX 2060 ROG Strix EVO V2 Gaming Triple-Fan 6GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.99,,,,
ASUS NVIDIA GeForce RTX 3050 Dual Overclocked Dual Fan 8GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.99,439.99,439.99,439.99
ASUS NVIDIA GeForce RTX 3050 ROG Strix Overclocked Triple Fan 8GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.99,489.99,489.99,489.99
ASUS NVIDIA GeForce RTX 3060 Dual V2 Overclocked Dual-Fan 12GB GDDR6,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99
ASUS NVIDIA GeForce RTX 3060 KO V2 Overclocked Dual Fan 12GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.99
ASUS NVIDIA GeForce RTX 3060 Phoenix Single-Fan 12GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,469.99,,,,,,,,,,469.99
ASUS NVIDIA GeForce RTX 3060 Phoenix V2 Single-Fan 12GB GDDR6,,,,,,,,469.99,469.99,469.99,469.99,469.99,,469.99,,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99
ASUS NVIDIA GeForce RTX 3060 ROG Strix Overclocked Triple-Fan 12GB GDDR6,,529.99,529.99,529.99,529.99,529.99,529.99,,,,,,,,,529.99,529.99,,,,,,529.99,529.99,,,,,,,,,,
ASUS NVIDIA GeForce RTX 3060 ROG Strix V2 Overclocked Triple-Fan 12GB GDDR6,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99,529.99
ASUS NVIDIA GeForce RTX 3060 TUF Gaming Overclocked Triple-Fan 12GB GDDR6,,,,,,,,,,,,,,,,,,509.99,,509.99,,,,509.99,509.99,,,,,,,,,
ASUS NVIDIA GeForce RTX 3060 TUF Gaming V2 Overclocked Triple-Fan 12GB GDDR6,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99,509.99
ASUS NVIDIA GeForce RTX 3060 Ti Dual V2 Overclocked Dual-Fan 8GB GDDR6,,,569.99,569.99,569.99,569.99,569.99,569.99,,,,,,,,569.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,569.99,,569.99,569.99,569.99,569.99,
ASUS NVIDIA GeForce RTX 3060 Ti KO LHR Overclocked Dual-Fan 8GB GDDR6,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,,,,,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99,589.99
ASUS NVIDIA GeForce RTX 3060 Ti ROG Strix LHR Overclocked Triple-Fan 8GB GDDR6,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99,649.99
ASUS NVIDIA GeForce RTX 3060 Ti TUF Gaming V2 Overclocked Triple-Fan 8GB GDDR6,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99,609.99
ASUS NVIDIA GeForce RTX 3060 Ti V2 Mini LHR Overclocked Dual-Fan 8GB GDDR6,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,499.99,,,,499.99,499.99,,,,,,499.99,499.99,499.99,499.99,499.99,499.99,,,,
ASUS NVIDIA GeForce RTX 3070 Dual LHR Overclocked Dual-Fan 8GB GDDR6,679.99,679.99,,679.99,,679.99,,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99
ASUS NVIDIA GeForce RTX 3070 Dual Overclocked Dual-Fan 8GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,679.99,679.99,,,,,,,,
ASUS NVIDIA GeForce RTX 3070 KO V2 LHR Overclocked Dual-Fan 8GB GDDR6,729.99,729.99,729.99,,,,,,,,,,,,,729.99,729.99,729.99,729.99,729.99,,,,,,,,729.99,729.99,729.99,,,,729.99
ASUS NVIDIA GeForce RTX 3070 Noctua Edition Overclocked Dual-Fan 8GB GDDR6,,,,,,,,,,,,,,769.99,769.99,769.99,769.99,769.99,769.99,769.99,769.99,769.99,769.99,769.99,769.99,769.99,769.99,,,,,,,
ASUS NVIDIA GeForce RTX 3070 ROG Strix Overclocked Triple-Fan 8GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,
ASUS NVIDIA GeForce RTX 3070 ROG Strix V2 Overclocked Triple-Fan 8GB GDDR6,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,,,,,,,,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99,779.99
ASUS NVIDIA GeForce RTX 3070 ROG Strix White Overclocked Triple-Fan 8GB GDDR6,,,,,829.99,829.99,829.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS NVIDIA GeForce RTX 3070 ROG Strix White V2 LHR Overclocked Triple-Fan 8GB GDDR6,,,,,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,829.99,,,,,,,829.99,829.99,829.99,829.99,829.99
ASUS NVIDIA GeForce RTX 3070 TUF Gaming V2 Overclocked Triple-Fan 8GB GDDR6,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99,749.99
ASUS NVIDIA GeForce RTX 3070 Ti ROG Strix Overclocked Triple-Fan 8GB GDDR6X,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
ASUS NVIDIA GeForce RTX 3070 Ti TUF Gaming Overclocked Triple-Fan 8GB GDDR6X,,,,,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99,949.99
ASUS NVIDIA GeForce RTX 3080 ROG Strix Gaming Overclocked Triple Fan 12GB GDDR6X,,,,,,,,,,,,,,,,,,,,,,,,,,1599.99,1599.99,1599.99,1599.99,1599.99,1599.99,1599.99,1599.99,1599.99
ASUS NVIDIA GeForce RTX 3080 ROG Strix Gundam Edition Overclocked Triple-Fan 10GB GDDR6X,,,,,,,,,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,,,,
ASUS NVIDIA GeForce RTX 3080 ROG Strix V2 LHR Gaming Overclocked Triple-Fan 10GB GDDR6X,,,,,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99
ASUS NVIDIA GeForce RTX 3080 ROG Strix V2 LHR Gaming White Overclocked Triple-Fan 10GB GDDR6X,,,,,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99,1159.99
ASUS NVIDIA GeForce RTX 3080 ROG Strix White Overclocked Triple-Fan 10GB GDDR6X,,,,,,1159.99,1159.99,1159.99,,,,,,,,1159.99,1159.99,1159.99,,,,,,,,,,,,,,,,
ASUS NVIDIA GeForce RTX 3080 TUF Gaming LHR Overclocked Triple Fan 12GB GDDR6X,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.99,1499.99,1499.99,1499.99,1499.99,1499.99,1499.99
ASUS NVIDIA GeForce RTX 3080 TUF Gaming Overclocked Triple-Fan 10GB GDDR6X,,,,,,,,,,,,,,,,,,,,,,,,,1049.99,1049.99,1049.99,1049.99,1049.99,1049.99,,,,
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 LHR Overclocked Triple-Fan 10GB GDDR6X,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.99,1049.99,1049.99,1049.99,1049.99,1049.99,
ASUS NVIDIA GeForce RTX 3080 Ti ROG Strix LC Overclocked Hybrid Cooled 12GB GDDR6,,,,,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,,,,,,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99,2099.99
ASUS NVIDIA GeForce RTX 3080 Ti ROG Strix Overclocked Triple-Fan 12GB GDDR6X,,,,,1999.99,,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99
